URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength
https://www.thegoodscentscompany.com/data/rw1025671.html,2-acetyl thiazole,2-acetylthiazole,"1-(1,3-thiazol-2-yl)ethanone",24295-03-2,127.16605000,C5 H5 N O S,colorless to yellow clear oily liquid (est),98.00 to 100.00 sum of isomers,1.21900 to 1.22600 @  25.00 °C.,1.54200 to 1.55200 @  20.00 °C.,Tidak ditemukan,"89.00 to   91.00 °C. @   12.00 mm Hg, 212.00 to  215.00 °C. @  760.00 mm Hg",173.00 °F. TCC (   78.33 °C. ),popcorn,"very high ,recommend smelling in a 0.10 % solution or less"
https://www.thegoodscentscompany.com/data/rw1027731.html,2-acetyl-5-methyl furan,1-(5-methylfuran-2-yl)ethanone,1-(5-methylfuran-2-yl)ethanone,1193-79-9,124.13916000,C7 H8 O2,yellow to orange clear liquid (est),99.00 to 100.00,1.06600 to 1.07200 @  20.00 °C.,1.51100 to 1.51700 @  20.00 °C.,Tidak ditemukan,"100.00 to  101.00 °C. @   25.00 mm Hg, 71.00 to   72.00 °C. @    8.00 mm Hg",175.00 °F. TCC (   79.44 °C. ),nutty,"high ,recommend smelling in a 0.10 % solution or less"
https://www.thegoodscentscompany.com/data/rw1426461.html,"2-ethyl-3,5(or 6)-dimethyl pyrazine","2-ethyl-3,?-dimethylpyrazine","3-ethyl-3,6-dimethyl-2H-pyrazine",27043-05-6,136.19764000,C8 H12 N2,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,burnt,Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1017841.html,filbert pyrazine,2-ethyl-3-methylpyrazine,2-ethyl-3-methylpyrazine,15707-23-0,122.17070000,C7 H10 N2,colorless to pale yellow clear liquid (est),97.00 to 100.00,0.97800 to 0.98800 @  25.00 °C.,1.50200 to 1.50500 @  20.00 °C.,Tidak ditemukan,"57.00 °C. @   10.00 mm Hg, 169.00 to  171.00 °C. @  760.00 mm Hg",138.00 °F. TCC (   58.89 °C. ),nutty,Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1008451.html,furfuryl mercaptan,2-furanmethanethiol,furan-2-ylmethanethiol,98-02-2,114.16702000,C5 H6 O S,colorless to pale yellow clear oily liquid (est),97.00 to 100.00,1.12500 to 1.13500 @  20.00 °C.,1.52700 to 1.54200 @  20.00 °C.,Tidak ditemukan,"154.00 to  155.00 °C. @  760.00 mm Hg, 147.00 °C. @   12.00 mm Hg",113.00 °F. TCC (   45.00 °C. ),coffee,Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1025621.html,2-heptanol,amyl methyl carbinol,heptan-2-ol,543-49-7,116.20372000,C7 H16 O,colorless clear liquid (est),97.00 to 100.00 sum of isomers,0.81400 to 0.82400 @  25.00 °C.,1.41400 to 1.42400 @  20.00 °C.,Tidak ditemukan,160.00 to  162.00 °C. @  760.00 mm Hg,148.00 °F. TCC (   64.44 °C. ),citrus,Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1002111.html,2-heptanone,methyl amyl ketone,heptan-2-one,110-43-0,114.18778000,C7 H14 O,colorless clear liquid (est),95.00 to 100.00,0.81400 to 0.81900 @  25.00 °C.,1.40800 to 1.41500 @  20.00 °C.,-26.90 °C. @  760.00 mm Hg,"149.00 to  150.00 °C. @  760.00 mm Hg, 151.00 °C. @    2.60 mm Hg",117.00 °F. TCC (   47.22 °C. ),cheesy,"high ,recommend smelling in a 10.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1005381.html,tropical thiazole,2-isopropyl-4-methylthiazole,"4-methyl-2-propan-2-yl-1,3-thiazole",15679-13-7,141.23667000,C7 H11 N S,yellow clear liquid (est),96.00 to 100.00,0.99700 to 1.00300 @  25.00 °C.,1.49400 to 1.50400 @  20.00 °C.,Tidak ditemukan,"92.00 °C. @   50.00 mm Hg, 175.00 °C. @  760.00 mm Hg",137.00 °F. TCC (   58.33 °C. ),fruity,Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1013601.html,2-isobutyl-3-methoxypyrazine,2-methoxy-3-isobutylpyrazine,2-methoxy-3-(2-methylpropyl)pyrazine,24683-00-9,166.22378000,C9 H14 N2 O,colorless to pale yellow clear liquid (est),95.00 to 100.00,0.99250 to 1.00250 @  25.00 °C.,1.48900 to 1.49700 @  20.00 °C.,Tidak ditemukan,214.00 to  215.00 °C. @  760.00 mm Hg,176.00 °F. TCC (   80.00 °C. ),green,Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1017841.html,filbert pyrazine,2-ethyl-3-methylpyrazine,2-ethyl-3-methylpyrazine,15707-23-0,122.17070000,C7 H10 N2,colorless to pale yellow clear liquid (est),97.00 to 100.00,0.97800 to 0.98800 @  25.00 °C.,1.50200 to 1.50500 @  20.00 °C.,Tidak ditemukan,"57.00 °C. @   10.00 mm Hg, 169.00 to  171.00 °C. @  760.00 mm Hg",138.00 °F. TCC (   58.89 °C. ),nutty,Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1035411.html,fish thiol,2-methyl-3-furanthiol,2-methylfuran-3-thiol,28588-74-1,114.16702000,C5 H6 O S,orange or orange pink clear liquid (est),95.00 to 100.00,1.14100 to 1.15000 @  25.00 °C.,1.50900 to 1.53000 @  20.00 °C.,Tidak ditemukan,57.00 to   60.00 °C. @   44.00 mm Hg,98.00 °F. TCC (   36.67 °C. ),sulfurous,Tidak ditemukan
